#              step               time            E_total                m_x                m_y                m_z             E_exch            E_demag          zeeman_Hx          zeeman_Hy          zeeman_Hz           E_zeeman 
#                <>                <s>                <J>                 <>                 <>                 <>                  J                  J              <A/m>              <A/m>              <A/m>                  J 
                44 4.400000000000e-10 -1.830377396285e-19 -9.148865303862e-01 8.549212615019e-02 -8.451521849437e-02 5.646141721366e-19 2.683421806727e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.431073718492e-18 
                45 4.500000000000e-10 -2.896556296411e-19 -8.938764026207e-01 -2.974486634636e-02 -7.703494778287e-02 5.586205281192e-19 2.430942329116e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.279218486877e-18 
                46 4.600000000000e-10 -3.774972162937e-19 -8.697259910468e-01 -1.245753479041e-01 -6.083235928760e-02 5.487196196371e-19 2.202720971634e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.128937807565e-18 
                47 4.700000000000e-10 -4.475028662665e-19 -8.534645645875e-01 -1.996369417674e-01 -3.824664125525e-02 5.697228105762e-19 2.003292739045e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.020518415888e-18 
                48 4.800000000000e-10 -5.055168313370e-19 -8.554078901427e-01 -2.502761114555e-01 -1.131164547858e-02 5.599395385163e-19 1.929570652884e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.995027022738e-18 
                49 4.900000000000e-10 -5.694890671122e-19 -8.808469168645e-01 -2.643511210750e-01 1.868121499707e-02 4.742009041913e-19 2.036128678833e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.079818650137e-18 
                50 5.000000000000e-10 -6.551851381641e-19 -9.191535857260e-01 -2.244992754666e-01 4.779036149125e-02 4.044298888594e-19 2.187259671629e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.246874698653e-18 
                51 5.100000000000e-10 -7.614003683023e-19 -9.439264820933e-01 -1.315140290016e-01 6.959171884871e-02 4.158049668616e-19 2.221056835054e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.398262170218e-18 
                52 5.200000000000e-10 -8.655329367336e-19 -9.409555809419e-01 -1.089888677423e-02 8.115342951899e-02 4.876024373361e-19 2.111960937637e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.465096311706e-18 
                53 5.300000000000e-10 -9.610262618037e-19 -9.182044900516e-01 1.145993729191e-01 8.270805183187e-02 4.705907878086e-19 2.030474114211e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.462091163823e-18 
                54 5.400000000000e-10 -1.044373490924e-18 -8.842086315910e-01 2.335907222154e-01 7.533393822298e-02 4.936029774919e-19 1.875419397984e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.413395866400e-18 
                55 5.500000000000e-10 -1.112936602832e-18 -8.502202397101e-01 3.369539078894e-01 5.947144802893e-02 5.084015465401e-19 1.733309805747e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.354647955119e-18 
                56 5.600000000000e-10 -1.169115234738e-18 -8.292121186920e-01 4.147557841842e-01 3.619285644092e-02 4.713185012055e-19 1.686876462829e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.327310198772e-18 
                57 5.700000000000e-10 -1.219788064298e-18 -8.294988957514e-01 4.572522343193e-01 7.877591213286e-03 4.194761356900e-19 1.716514416471e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.355778616459e-18 
                58 5.800000000000e-10 -1.274317182310e-18 -8.516924009716e-01 4.560126080788e-01 -2.173259654696e-02 3.563594616918e-19 1.806196447794e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.436873091796e-18 
                59 5.900000000000e-10 -1.341606085909e-18 -8.853960838033e-01 4.058506162792e-01 -4.856936402032e-02 2.786131064908e-19 1.908666004334e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.528885196734e-18 
                60 6.000000000000e-10 -1.420620416247e-18 -9.129677440584e-01 3.102350555585e-01 -6.827305332260e-02 2.600228961145e-19 1.888309274050e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.568952586411e-18 
                61 6.100000000000e-10 -1.500660693283e-18 -9.225910819564e-01 1.871955361586e-01 -7.669601031283e-02 2.993582991984e-19 1.725083220760e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.525102213241e-18 
                62 6.200000000000e-10 -1.572285450369e-18 -9.152693925006e-01 6.157378379150e-02 -7.238859425915e-02 3.358043561534e-19 1.508969342351e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.417059148873e-18 
                63 6.300000000000e-10 -1.628764082814e-18 -9.012162985146e-01 -4.373697350467e-02 -5.698544273482e-02 3.310213555542e-19 1.337492355240e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.297277793608e-18 
                64 6.400000000000e-10 -1.670939412483e-18 -8.937177935764e-01 -1.150318159592e-01 -3.382030909209e-02 3.042861206213e-19 1.248397603899e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.223623137003e-18 
                65 6.500000000000e-10 -1.704102231000e-18 -9.014861270327e-01 -1.475421114728e-01 -7.004640067912e-03 2.959740360477e-19 1.231242879803e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.231319146851e-18 
                66 6.600000000000e-10 -1.739723310589e-18 -9.254171553619e-01 -1.390384233642e-01 1.985608219515e-02 2.650578666814e-19 1.320328342945e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.325109520216e-18 
                67 6.700000000000e-10 -1.789562090676e-18 -9.544329210443e-01 -8.773565479209e-02 4.296422586130e-02 2.267273824015e-19 1.448978508235e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.465267981312e-18 
                68 6.800000000000e-10 -1.851458066597e-18 -9.709713145799e-01 -6.230326464661e-04 5.771908476575e-02 2.221589964882e-19 1.508865231657e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.582482294743e-18 
                69 6.900000000000e-10 -1.913836218216e-18 -9.662242588908e-01 1.024239916694e-01 6.134860031267e-02 2.361630041282e-19 1.481431767590e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.631430989934e-18 
                70 7.000000000000e-10 -1.967136591553e-18 -9.456745002759e-01 1.999851315389e-01 5.466095933126e-02 2.404161646403e-19 1.410976559667e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.618529315861e-18 
                71 7.100000000000e-10 -2.007121839168e-18 -9.219243183142e-01 2.788462256753e-01 4.023691203759e-02 2.375728114756e-19 1.337061899497e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.581756550140e-18 
                72 7.200000000000e-10 -2.037508488399e-18 -9.072387833146e-01 3.309399918509e-01 2.067408017390e-02 2.227956825114e-19 1.300863234264e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.561167405175e-18 
                73 7.300000000000e-10 -2.064791775146e-18 -9.076555876640e-01 3.495308662381e-01 -2.003827364803e-03 2.225143369483e-19 1.287390415110e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.574696527204e-18 
                74 7.400000000000e-10 -2.095633119605e-18 -9.220836130604e-01 3.301922165113e-01 -2.546180162011e-02 1.903881170310e-19 1.329441275207e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.615462511843e-18 
                75 7.500000000000e-10 -2.133280975612e-18 -9.424063547370e-01 2.714862493635e-01 -4.618600554275e-02 1.682216530299e-19 1.351085451177e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.652588079819e-18 
