#               step                time             E_total                 m_x                 m_y                 m_z              E_exch             E_demag 
#         <unitless>                 <s>                 <J>          <unitless>          <unitless>          <unitless>                 <J>                 <J> 
                74 +3.700000000000e-09 +3.828838238235e-18 -2.071982923335e-01 -2.075045211494e-03 +2.156927323649e-02 +2.719097369743e-18 +1.109740868492e-18 
                75 +3.750000000000e-09 +3.822593578256e-18 -2.025155951466e-01 -1.494156116234e-03 +2.171052077544e-02 +2.718793498509e-18 +1.103800079748e-18 
                76 +3.800000000000e-09 +3.817120793471e-18 -1.982956992407e-01 +1.051408682603e-04 +2.182779577958e-02 +2.718541278000e-18 +1.098579515472e-18 
                77 +3.850000000000e-09 +3.812685853539e-18 -1.947724894924e-01 +2.431747806561e-03 +2.191794199898e-02 +2.718357009164e-18 +1.094328844375e-18 
                78 +3.900000000000e-09 +3.809450616134e-18 -1.921014121374e-01 +5.232936665374e-03 +2.198282474896e-02 +2.718206398147e-18 +1.091244217987e-18 
                79 +3.950000000000e-09 +3.807480655735e-18 -1.903602366154e-01 +8.302878992832e-03 +2.202595085995e-02 +2.718041792352e-18 +1.089438863383e-18 
                80 +4.000000000000e-09 +3.806752763741e-18 -1.895530487998e-01 +1.147293384236e-02 +2.205029945688e-02 +2.717835331724e-18 +1.088917432017e-18 
                81 +4.050000000000e-09 +3.807168977135e-18 -1.896210741507e-01 +1.460098771023e-02 +2.205760351244e-02 +2.717591858058e-18 +1.089577119076e-18 
                82 +4.100000000000e-09 +3.808578204264e-18 -1.904601339987e-01 +1.756502538457e-02 +2.204861523755e-02 +2.717342300229e-18 +1.091235904035e-18 
                83 +4.150000000000e-09 +3.810800354338e-18 -1.919403794756e-01 +2.025928514533e-02 +2.202374728012e-02 +2.717127509317e-18 +1.093672845021e-18 
                84 +4.200000000000e-09 +3.813646229796e-18 -1.939228644371e-01 +2.259069669410e-02 +2.198368071414e-02 +2.716982578492e-18 +1.096663651304e-18 
                85 +4.250000000000e-09 +3.816929411524e-18 -1.962698918929e-01 +2.447560354085e-02 +2.192979919022e-02 +2.716927037741e-18 +1.100002373783e-18 
                86 +4.300000000000e-09 +3.820470641477e-18 -1.988493314537e-01 +2.583850319682e-02 +2.186440725105e-02 +2.716962111991e-18 +1.103508529486e-18 
                87 +4.350000000000e-09 +3.824097844448e-18 -2.015351583782e-01 +2.661461029764e-02 +2.179072845957e-02 +2.717074090691e-18 +1.107023753757e-18 
                88 +4.400000000000e-09 +3.827645214203e-18 -2.042066476512e-01 +2.675675030038e-02 +2.171267805202e-02 +2.717241897297e-18 +1.110403316906e-18 
                89 +4.450000000000e-09 +3.830953406391e-18 -2.067477026260e-01 +2.624515642063e-02 +2.163447376421e-02 +2.717445882844e-18 +1.113507523547e-18 
                90 +4.500000000000e-09 +3.833871125699e-18 -2.090466713696e-01 +2.509735492057e-02 +2.156025792095e-02 +2.717673950070e-18 +1.116197175629e-18 
                91 +4.550000000000e-09 +3.836257639150e-18 -2.109966424311e-01 +2.337516133793e-02 +2.149392314771e-02 +2.717921758423e-18 +1.118335880727e-18 
                92 +4.600000000000e-09 +3.837986759504e-18 -2.124970886042e-01 +2.118675687602e-02 +2.143918895270e-02 +2.718186741836e-18 +1.119800017668e-18 
                93 +4.650000000000e-09 +3.838954709910e-18 -2.134591153172e-01 +1.868287421239e-02 +2.139970438985e-02 +2.718459789336e-18 +1.120494920574e-18 
                94 +4.700000000000e-09 +3.839094277162e-18 -2.138165129875e-01 +1.604660744368e-02 +2.137881154184e-02 +2.718720663580e-18 +1.120373613582e-18 
                95 +4.750000000000e-09 +3.838393641214e-18 -2.135415845115e-01 +1.347679236615e-02 +2.137880765747e-02 +2.718941112808e-18 +1.119452528406e-18 
                96 +4.800000000000e-09 +3.836912165216e-18 -2.126596454029e-01 +1.116619885070e-02 +2.139999448552e-02 +2.719094172225e-18 +1.117817992992e-18 
                97 +4.850000000000e-09 +3.834783165339e-18 -2.112539027734e-01 +9.277950813990e-03 +2.144009175696e-02 +2.719163919895e-18 +1.115619245445e-18 
                98 +4.900000000000e-09 +3.832199083551e-18 -2.094565037786e-01 +7.925484751624e-03 +2.149442800179e-02 +2.719150379921e-18 +1.113048703630e-18 
                99 +4.950000000000e-09 +3.829383800127e-18 -2.074289954666e-01 +7.161512286403e-03 +2.155687521996e-02 +2.719067888800e-18 +1.110315911327e-18 
               100 +5.000000000000e-09 +3.826562274817e-18 -2.053398191268e-01 +6.978958159782e-03 +2.162111892316e-02 +2.718938644611e-18 +1.107623630205e-18 
               101 +5.050000000000e-09 +3.823936069386e-18 -2.033452703131e-01 +7.322427920952e-03 +2.168175644138e-02 +2.718784907693e-18 +1.105151161693e-18 
               102 +5.100000000000e-09 +3.821668023918e-18 -2.015765383158e-01 +8.105047369791e-03 +2.173489070675e-02 +2.718623354559e-18 +1.103044669359e-18 
               103 +5.150000000000e-09 +3.819875188867e-18 -2.001325659247e-01 +9.224841151578e-03 +2.177818030872e-02 +2.718463494238e-18 +1.101411694630e-18 
               104 +5.200000000000e-09 +3.818627704346e-18 -1.990774964910e-01 +1.057697845806e-02 +2.181053195924e-02 +2.718309687554e-18 +1.100318016792e-18 
               105 +5.250000000000e-09 +3.817951644600e-18 -1.984415606358e-01 +1.206111626348e-02 +2.183168521109e-02 +2.718164653666e-18 +1.099786990934e-18 
               106 +5.300000000000e-09 +3.817834488309e-18 -1.982244923097e-01 +1.358494190538e-02 +2.184187180135e-02 +2.718032245587e-18 +1.099802242722e-18 
               107 +5.350000000000e-09 +3.818232185445e-18 -1.984006201219e-01 +1.506549952591e-02 +2.184162096311e-02 +2.717918338272e-18 +1.100313847173e-18 
               108 +5.400000000000e-09 +3.819076834640e-18 -1.989247386433e-01 +1.642956670202e-02 +2.183169596270e-02 +2.717829941966e-18 +1.101246892673e-18 
               109 +5.450000000000e-09 +3.820284055364e-18 -1.997379122974e-01 +1.761387828675e-02 +2.181310787762e-02 +2.717773423697e-18 +1.102510631666e-18 
               110 +5.500000000000e-09 +3.821759401069e-18 -2.007725864263e-01 +1.856565848555e-02 +2.178715009951e-02 +2.717752833734e-18 +1.104006567335e-18 
               111 +5.550000000000e-09 +3.823403560252e-18 -2.019567156517e-01 +1.924370077104e-02 +2.175541280046e-02 +2.717769002745e-18 +1.105634557507e-18 
               112 +5.600000000000e-09 +3.825116468591e-18 -2.032169407598e-01 +1.962002493012e-02 +2.171975716453e-02 +2.717819588717e-18 +1.107296879874e-18 
               113 +5.650000000000e-09 +3.826800683226e-18 -2.044810581085e-01 +1.968189784117e-02 +2.168224801113e-02 +2.717899828910e-18 +1.108900854316e-18 
               114 +5.700000000000e-09 +3.828364428803e-18 -2.056801142186e-01 +1.943377083478e-02 +2.164505666348e-02 +2.718003515576e-18 +1.110360913227e-18 
               115 +5.750000000000e-09 +3.829724672581e-18 -2.067504609569e-01 +1.889853980324e-02 +2.161035002859e-02 +2.718123728315e-18 +1.111600944266e-18 
