#              step               time            E_total                m_x                m_y                m_z 
#                                    s                  J                                                          
                70 3.450000000000e-09 3.855047782286e-18 -2.247445642989e-01 1.544256597119e-02 2.104687204935e-02 
                71 3.500000000000e-09 3.852423198297e-18 -2.234214967059e-01 9.615226602765e-03 2.106711199111e-02 
                71 3.500000000000e-09 3.852423198297e-18 -2.234214967059e-01 9.615226602765e-03 2.106711199111e-02 
                72 3.550000000000e-09 3.848024491073e-18 -2.206863990650e-01 4.644198077534e-03 2.114047145835e-02 
                72 3.550000000000e-09 3.848024491073e-18 -2.206863990650e-01 4.644198077534e-03 2.114047145835e-02 
                73 3.600000000000e-09 3.842271025822e-18 -2.168162295023e-01 9.222849357280e-04 2.125993311708e-02 
                73 3.600000000000e-09 3.842271025822e-18 -2.168162295023e-01 9.222849357280e-04 2.125993311708e-02 
                74 3.650000000000e-09 3.835765745335e-18 -2.122393950997e-01 -1.323385980067e-03 2.140786975882e-02 
                74 3.650000000000e-09 3.835765745335e-18 -2.122393950997e-01 -1.323385980067e-03 2.140786975882e-02 
                75 3.700000000000e-09 3.829122468496e-18 -2.074068573979e-01 -2.081728034213e-03 2.156230099985e-02 
                75 3.700000000000e-09 3.829122468496e-18 -2.074068573979e-01 -2.081728034213e-03 2.156230099985e-02 
                76 3.750000000000e-09 3.822856456422e-18 -2.027140913804e-01 -1.531221656026e-03 2.170425867219e-02 
                76 3.750000000000e-09 3.822856456422e-18 -2.027140913804e-01 -1.531221656026e-03 2.170425867219e-02 
                77 3.800000000000e-09 3.817355361122e-18 -1.984775553285e-01 4.795915383436e-05 2.182243558113e-02 
                77 3.800000000000e-09 3.817355361122e-18 -1.984775553285e-01 4.795915383436e-05 2.182243558113e-02 
                78 3.850000000000e-09 3.812888650315e-18 -1.949336071650e-01 2.363434535904e-03 2.191345297659e-02 
                78 3.850000000000e-09 3.812888650315e-18 -1.949336071650e-01 2.363434535904e-03 2.191345297659e-02 
                79 3.900000000000e-09 3.809621025748e-18 -1.922399512031e-01 5.160380124812e-03 2.197906922487e-02 
                79 3.900000000000e-09 3.809621025748e-18 -1.922399512031e-01 5.160380124812e-03 2.197906922487e-02 
                80 3.950000000000e-09 3.807620379739e-18 -1.904763383998e-01 8.231128150593e-03 2.202277755159e-02 
                80 3.950000000000e-09 3.807620379739e-18 -1.904763383998e-01 8.231128150593e-03 2.202277755159e-02 
                81 4.000000000000e-09 3.806865285629e-18 -1.896484453997e-01 1.140574314512e-02 2.204758642335e-02 
                81 4.000000000000e-09 3.806865285629e-18 -1.896484453997e-01 1.140574314512e-02 2.204758642335e-02 
                82 4.050000000000e-09 3.807258934746e-18 -1.896985837666e-01 1.454122930087e-02 2.205526256867e-02 
                82 4.050000000000e-09 3.807258934746e-18 -1.896985837666e-01 1.454122930087e-02 2.205526256867e-02 
                83 4.100000000000e-09 3.808650728424e-18 -1.905231173575e-01 1.751490149678e-02 2.204657835267e-02 
                83 4.100000000000e-09 3.808650728424e-18 -1.905231173575e-01 1.751490149678e-02 2.204657835267e-02 
                84 4.150000000000e-09 3.810860507788e-18 -1.919922764793e-01 2.022042014742e-02 2.202195267191e-02 
                84 4.150000000000e-09 3.810860507788e-18 -1.919922764793e-01 2.022042014742e-02 2.202195267191e-02 
                85 4.200000000000e-09 3.813698648416e-18 -1.939668937257e-01 2.256418628949e-02 2.198206510826e-02 
                85 4.200000000000e-09 3.813698648416e-18 -1.939668937257e-01 2.256418628949e-02 2.198206510826e-02 
                86 4.250000000000e-09 3.816978156368e-18 -1.963089228236e-01 2.446204933829e-02 2.192829657239e-02 
                86 4.250000000000e-09 3.816978156368e-18 -1.963089228236e-01 2.446204933829e-02 2.192829657239e-02 
                87 4.300000000000e-09 3.820519200588e-18 -1.988858801732e-01 2.583803461744e-02 2.186295181858e-02 
                87 4.300000000000e-09 3.820519200588e-18 -1.988858801732e-01 2.583803461744e-02 2.186295181858e-02 
                88 4.350000000000e-09 3.824149203618e-18 -2.015714435119e-01 2.662688815265e-02 2.178925881830e-02 
                88 4.350000000000e-09 3.824149203618e-18 -2.015714435119e-01 2.662688815265e-02 2.178925881830e-02 
                89 4.400000000000e-09 3.827701938359e-18 -2.042446585568e-01 2.678095466992e-02 2.171114078766e-02 
                89 4.400000000000e-09 3.827701938359e-18 -2.042446585568e-01 2.678095466992e-02 2.171114078766e-02 
                90 4.450000000000e-09 3.831017707244e-18 -2.067892584082e-01 2.627996983932e-02 2.163282419191e-02 
                90 4.450000000000e-09 3.831017707244e-18 -2.067892584082e-01 2.627996983932e-02 2.163282419191e-02 
                91 4.500000000000e-09 3.833944910607e-18 -2.090934647455e-01 2.514095349051e-02 2.155845680796e-02 
                91 4.500000000000e-09 3.833944910607e-18 -2.090934647455e-01 2.514095349051e-02 2.155845680796e-02 
                92 4.550000000000e-09 3.836342527589e-18 -2.110502559530e-01 2.342522514302e-02 2.149193021430e-02 
                92 4.550000000000e-09 3.836342527589e-18 -2.110502559530e-01 2.342522514302e-02 2.149193021430e-02 
