#               step           E_total_1           E_total_2           E_total_3           E_total_4           E_total_5           E_total_6           E_total_7           E_total_8 
#                                      J                   J                   J                   J                   J                   J                   J                   J 
               121 -1.308109356301e-18 -1.305553157351e-18 -1.295504877880e-18 -1.253788896277e-18 -1.227572751994e-18 -1.270529031078e-18 -1.311270616551e-18 -1.327104000000e-18 
               122 -1.308109356301e-18 -1.305553863857e-18 -1.295500682359e-18 -1.253810110086e-18 -1.227584550858e-18 -1.270533565763e-18 -1.311271101732e-18 -1.327104000000e-18 
               123 -1.308109356301e-18 -1.305554385969e-18 -1.295497081343e-18 -1.253805918518e-18 -1.227588170922e-18 -1.270536538420e-18 -1.311271397148e-18 -1.327104000000e-18 
               124 -1.308109356301e-18 -1.305555076158e-18 -1.295492118800e-18 -1.253792885797e-18 -1.227591352601e-18 -1.270540354982e-18 -1.311271777394e-18 -1.327104000000e-18 
               125 -1.308109356301e-18 -1.305556660935e-18 -1.295480680860e-18 -1.253761713281e-18 -1.227597540334e-18 -1.270549115558e-18 -1.311272685745e-18 -1.327104000000e-18 
               126 -1.308109356301e-18 -1.305566224707e-18 -1.295410984152e-18 -1.253568833263e-18 -1.227631354712e-18 -1.270602586449e-18 -1.311278669742e-18 -1.327104000000e-18 
               127 -1.308109356301e-18 -1.305567074402e-18 -1.295404567262e-18 -1.253554186450e-18 -1.227635736022e-18 -1.270607980795e-18 -1.311279512386e-18 -1.327104000000e-18 
               128 -1.308109356301e-18 -1.305567822015e-18 -1.295398903627e-18 -1.253541311394e-18 -1.227639308488e-18 -1.270612757323e-18 -1.311280278550e-18 -1.327104000000e-18 
               129 -1.308109356301e-18 -1.305568282163e-18 -1.295395405938e-18 -1.253533375936e-18 -1.227641482751e-18 -1.270615720847e-18 -1.311280763954e-18 -1.327104000000e-18 
               130 -1.308109356301e-18 -1.305569580040e-18 -1.295385471886e-18 -1.253509360574e-18 -1.227647469401e-18 -1.270624099634e-18 -1.311282156935e-18 -1.327104000000e-18 
               131 -1.308109356301e-18 -1.305572065746e-18 -1.295366334245e-18 -1.253463586031e-18 -1.227659041589e-18 -1.270640397691e-18 -1.311284956782e-18 -1.327104000000e-18 
               132 -1.308109356301e-18 -1.305756179556e-18 -1.293844615363e-18 -1.248781342080e-18 -1.228353499088e-18 -1.271836295689e-18 -1.311500535750e-18 -1.327104000000e-18 
