#               time            E_Demag  E_UniformExchange            E_total                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
             5.7e-10  1.34176994982e-18   2.7061164686e-18  4.04788641841e-18    -0.312677930448     0.102348670011    0.0180831661479  3.63314045515e-10      1578232579.82               2519                 57 
             5.8e-10  1.34376870245e-18  2.70601317017e-18  4.04978187262e-18    -0.315332968894    0.0961302965697    0.0179456692929  3.61839336271e-10       1578232579.9               2573                 58 
             5.9e-10  1.34534120936e-18  2.70597911336e-18  4.05132032272e-18    -0.317837634854    0.0898205694826    0.0178291986813  3.68412300666e-10      1578232579.98               2627                 59 
               6e-10  1.34667286641e-18  2.70578171018e-18  4.05245457659e-18    -0.320160044571    0.0834744542044    0.0177586629594  3.17378123782e-10      1578232580.05               2681                 60 
             6.1e-10  1.34791135767e-18   2.7052369905e-18  4.05314834817e-18    -0.322240682232    0.0771466246752    0.0177516910673   2.9792746048e-10      1578232580.13               2735                 61 
             6.2e-10  1.34910104974e-18  2.70429010651e-18  4.05339115625e-18     -0.32400783371    0.0708814593002    0.0178130808256  3.14481440888e-10      1578232580.26               2789                 62 
             6.3e-10  1.35015037352e-18  2.70305360035e-18  4.05320397386e-18    -0.325398612896    0.0647032931395    0.0179313938028  2.81030532179e-10      1578232580.38               2841                 63 
             6.4e-10  1.35085956844e-18   2.7017738878e-18  4.05263345625e-18    -0.326377897076     0.058611343884     0.018079916834  2.48728926344e-10      1578232580.59               2895                 64 
             6.5e-10  1.35099961493e-18  2.70073874734e-18  4.05173836226e-18    -0.326948767744    0.0525818545097    0.0182232278475  2.66113908687e-10      1578232580.67               2949                 65 
             6.6e-10  1.35039979304e-18  2.70017439397e-18  4.05057418702e-18    -0.327151872371    0.0465767361878    0.0183276768976  2.55344301259e-10      1578232580.78               3003                 66 
             6.7e-10  1.34900139677e-18  2.70017886916e-18  4.04918026593e-18    -0.327054767819    0.0405557073047    0.0183714308006  2.14316120406e-10      1578232580.84               3057                 67 
             6.8e-10  1.34686296591e-18  2.70070811568e-18  4.04757108159e-18    -0.326734404716    0.0344886118149    0.0183499263478  2.21531015754e-10      1578232580.92               3111                 68 
             6.9e-10  1.34412932759e-18  2.70160355045e-18  4.04573287804e-18    -0.326256976207    0.0283652363484    0.0182755433584  2.29989582934e-10      1578232580.98               3165                 69 
               7e-10  1.34098559423e-18  2.70264152396e-18  4.04362711819e-18     -0.32566012759    0.0222003263439    0.0181732858341  1.89258830829e-10      1578232581.05               3219                 70 
             7.1e-10  1.33761067742e-18  2.70359077919e-18  4.04120145661e-18    -0.324942659191    0.0160319279305    0.0180748622894  1.82014181505e-10      1578232581.11               3273                 71 
             7.2e-10  1.33413489477e-18   2.7042710614e-18  4.03840595617e-18     -0.32406536539   0.00991277653965    0.0180121540238  2.01745287143e-10      1578232581.18               3325                 72 
             7.3e-10  1.33060469468e-18  2.70460435793e-18  4.03520905261e-18    -0.322963287861   0.00389722743123    0.0180100012781  1.70081393414e-10      1578232581.24               3379                 73 
             7.4e-10  1.32696555239e-18  2.70464161377e-18  4.03160716616e-18    -0.321565656981  -0.00197150254798    0.0180790934086  1.47163392583e-10      1578232581.31               3433                 74 
             7.5e-10  1.32307824777e-18  2.70454677166e-18  4.02762501943e-18    -0.319817188903  -0.00766909975578    0.0182115775756  1.70483738238e-10      1578232581.37               3487                 75 
             7.6e-10  1.31877138939e-18  2.70453706342e-18  4.02330845282e-18    -0.317694457723    -0.013190847905    0.0183823703826  1.57245882981e-10      1578232581.44               3541                 76 
             7.7e-10   1.3139108117e-18  2.70480338994e-18  4.01871420164e-18    -0.315213313879   -0.0185464991747    0.0185568561797  1.26944010859e-10       1578232581.5               3595                 77 
             7.8e-10  1.30845405891e-18  2.70544623749e-18   4.0139002964e-18    -0.312426244151   -0.0237524541848    0.0187021665619  1.41801348441e-10      1578232581.59               3649                 78 
             7.9e-10  1.30246614293e-18  2.70645223437e-18   4.0089183773e-18    -0.309410984339   -0.0288241081897    0.0187973217822  1.44463219165e-10      1578232581.65               3703                 79 
               8e-10  1.29609415682e-18  2.70771373284e-18  4.00380788966e-18    -0.306253369892   -0.0337698112319    0.0188385157456  1.14663945006e-10      1578232581.72               3755                 80 
             8.1e-10  1.28951825989e-18  2.70907417129e-18  3.99859243118e-18    -0.303028531568   -0.0385868376659    0.0188385990719   1.1698830793e-10      1578232581.78               3809                 81 
