#             steps          E_total_1          E_total_2          E_total_3          E_total_4          E_total_5          E_total_6          E_total_7          E_total_8 
#                <>                <J>                <J>                <J>                <J>                <J>                <J>                <J>                <J> 
               470 -1.308109356292e-18 -1.304961766648e-18 -1.294619929403e-18 -1.260947449546e-18 -1.224486405914e-18 -1.275188721704e-18 -1.313737553682e-18 -1.327104000000e-18 
               480 -1.308109356292e-18 -1.304949526960e-18 -1.294573772555e-18 -1.260762864948e-18 -1.224809212915e-18 -1.275226093677e-18 -1.313716544529e-18 -1.327104000000e-18 
               490 -1.308109356292e-18 -1.304937353976e-18 -1.294526303116e-18 -1.260559451087e-18 -1.225113288203e-18 -1.275255956205e-18 -1.313694490186e-18 -1.327104000000e-18 
               500 -1.308109356292e-18 -1.304925459240e-18 -1.294478187176e-18 -1.260340812471e-18 -1.225397856087e-18 -1.275278985570e-18 -1.313671764755e-18 -1.327104000000e-18 
               510 -1.308109356292e-18 -1.304913999998e-18 -1.294429897552e-18 -1.260109844033e-18 -1.225663508990e-18 -1.275296043496e-18 -1.313648628783e-18 -1.327104000000e-18 
               520 -1.308109356292e-18 -1.304903121898e-18 -1.294381838207e-18 -1.259869326914e-18 -1.225911136877e-18 -1.275307866875e-18 -1.313625336420e-18 -1.327104000000e-18 
               530 -1.308109356292e-18 -1.304892868116e-18 -1.294333871100e-18 -1.259619571559e-18 -1.226144112298e-18 -1.275314968877e-18 -1.313601952566e-18 -1.327104000000e-18 
               540 -1.308109356292e-18 -1.304883604351e-18 -1.294287613757e-18 -1.259369010046e-18 -1.226357056700e-18 -1.275318290648e-18 -1.313579086038e-18 -1.327104000000e-18 
               550 -1.308109356292e-18 -1.304875127688e-18 -1.294241574017e-18 -1.259111164557e-18 -1.226559209628e-18 -1.275317908318e-18 -1.313556254489e-18 -1.327104000000e-18 
               560 -1.308109356292e-18 -1.304867919955e-18 -1.294198310525e-18 -1.258859980683e-18 -1.226741187607e-18 -1.275314933825e-18 -1.313534457219e-18 -1.327104000000e-18 
               570 -1.308109356292e-18 -1.304861694188e-18 -1.294155608058e-18 -1.258604155606e-18 -1.226914294633e-18 -1.275309098766e-18 -1.313512791081e-18 -1.327104000000e-18 
               580 -1.308109356292e-18 -1.304856754961e-18 -1.294115118574e-18 -1.258353342537e-18 -1.227073115405e-18 -1.275301117315e-18 -1.313491936458e-18 -1.327104000000e-18 
               590 -1.308109356292e-18 -1.304853200488e-18 -1.294077804611e-18 -1.258113810537e-18 -1.227215386646e-18 -1.275291810438e-18 -1.313472237883e-18 -1.327104000000e-18 
               600 -1.308109356292e-18 -1.304850915730e-18 -1.294041919238e-18 -1.257875750220e-18 -1.227349189921e-18 -1.275280514183e-18 -1.313452939483e-18 -1.327104000000e-18 
               610 -1.308109356292e-18 -1.304850020337e-18 -1.294009309201e-18 -1.257651000480e-18 -1.227468543653e-18 -1.275268348369e-18 -1.313434801078e-18 -1.327104000000e-18 
               620 -1.308109356292e-18 -1.304850488584e-18 -1.293978565816e-18 -1.257430894558e-18 -1.227579668870e-18 -1.275254669312e-18 -1.313417122765e-18 -1.327104000000e-18 
               630 -1.308109356292e-18 -1.304852306822e-18 -1.293950810165e-18 -1.257223302208e-18 -1.227679232287e-18 -1.275240241691e-18 -1.313400398970e-18 -1.327104000000e-18 
               640 -1.308109356292e-18 -1.304855496793e-18 -1.293925374461e-18 -1.257023886774e-18 -1.227770377876e-18 -1.275224720100e-18 -1.313384237324e-18 -1.327104000000e-18 
               650 -1.308109356292e-18 -1.304859998067e-18 -1.293902623160e-18 -1.256835589418e-18 -1.227852372220e-18 -1.275208441019e-18 -1.313368784201e-18 -1.327104000000e-18 
