#               step          distance_1          distance_2          distance_3          distance_4          distance_5          distance_6          distance_7 
#                                                                                                                                                                
                57 +6.089944628312e+00 +6.140524147284e+00 +6.136033355870e+00 +6.127071612899e+00 +5.987384720550e+00 +5.818965143887e+00 +5.705042392732e+00 
                58 +6.090241570970e+00 +6.140347827177e+00 +6.135573656709e+00 +6.126829502676e+00 +5.987507231124e+00 +5.819252971473e+00 +5.705396110237e+00 
                59 +6.529054458571e+00 +5.996012555139e+00 +5.809257583827e+00 +6.128001091144e+00 +6.289630420539e+00 +6.491998037563e+00 +6.487552820950e+00 
                60 +6.516942048088e+00 +5.996024333403e+00 +5.829335960176e+00 +6.080537822265e+00 +6.266676158110e+00 +6.494332649447e+00 +6.491908920141e+00 
                61 +6.505684350711e+00 +5.995406600933e+00 +5.850573128398e+00 +6.085801117954e+00 +6.259494882057e+00 +6.495138976677e+00 +6.495964631090e+00 
                62 +6.502758389988e+00 +5.993638919268e+00 +5.836804027448e+00 +6.093800954086e+00 +6.256408305528e+00 +6.493632213280e+00 +6.496799691976e+00 
                63 +6.500077420926e+00 +5.993476273931e+00 +5.839555337337e+00 +6.092293654803e+00 +6.256593623835e+00 +6.493721917417e+00 +6.497747163929e+00 
                64 +6.497217432129e+00 +5.993329397823e+00 +5.842821369134e+00 +6.090776822729e+00 +6.256947840622e+00 +6.493853182552e+00 +6.498760815508e+00 
                65 +6.472720536741e+00 +5.992125324268e+00 +5.870913714594e+00 +6.080952817252e+00 +6.262102421295e+00 +6.495345736179e+00 +6.507715915647e+00 
                66 +6.460869603482e+00 +5.991375239219e+00 +5.881665758718e+00 +6.082067118903e+00 +6.267964284385e+00 +6.496058569534e+00 +6.511864758346e+00 
                67 +6.449938660295e+00 +5.990756934128e+00 +5.891533096903e+00 +6.086953577449e+00 +6.276183536278e+00 +6.497089631054e+00 +6.515646647089e+00 
                68 +6.446143710831e+00 +5.990528292603e+00 +5.894642436932e+00 +6.087485031631e+00 +6.277905146344e+00 +6.497489413236e+00 +6.516930035620e+00 
                69 +6.442497365894e+00 +5.990342939587e+00 +5.897896472744e+00 +6.088510090771e+00 +6.280303535037e+00 +6.497958316532e+00 +6.518163383115e+00 
                70 +6.440088111084e+00 +5.990232254826e+00 +5.900090761639e+00 +6.089407869089e+00 +6.281961523671e+00 +6.498292505474e+00 +6.518975253039e+00 
                71 +6.429890830524e+00 +5.989810190456e+00 +5.909521220761e+00 +6.093381055255e+00 +6.289136729539e+00 +6.499794104829e+00 +6.522447382245e+00 
                72 +6.412166479924e+00 +5.989261602437e+00 +5.925946131430e+00 +6.101967366571e+00 +6.302401129905e+00 +6.502865099192e+00 +6.528506755164e+00 
                73 +6.100274748552e+00 +6.006598643420e+00 +6.323394835099e+00 +6.453077378010e+00 +6.585900063665e+00 +6.594460569311e+00 +6.680403936436e+00 
                74 +6.098837593768e+00 +5.988312087088e+00 +6.121198076686e+00 +6.619881145812e+00 +6.525437718636e+00 +6.588035214115e+00 +6.679178871114e+00 
                75 +6.097477969765e+00 +5.988833331560e+00 +6.117648716692e+00 +6.619053864411e+00 +6.528997666686e+00 +6.589512712550e+00 +6.679068671377e+00 
                76 +6.095344384290e+00 +5.989685227759e+00 +6.113817725129e+00 +6.619517455182e+00 +6.535138399499e+00 +6.591990460145e+00 +6.678924231578e+00 
                77 +6.091534615855e+00 +5.991195297662e+00 +6.109474251473e+00 +6.621744691918e+00 +6.545923528122e+00 +6.596470214867e+00 +6.678712905715e+00 
                78 +6.087982962382e+00 +5.992584420871e+00 +6.107930368222e+00 +6.625098512377e+00 +6.555710342387e+00 +6.600644573401e+00 +6.678582630348e+00 
                79 +6.052487948838e+00 +6.007286216645e+00 +6.109981779471e+00 +6.670747676979e+00 +6.655989805104e+00 +6.645139159492e+00 +6.678685384795e+00 
                80 +6.051105749037e+00 +6.007358879069e+00 +6.112029895606e+00 +6.673308619353e+00 +6.659059100023e+00 +6.645863672562e+00 +6.678728980021e+00 
                81 +6.049974066534e+00 +6.007777281548e+00 +6.115046986151e+00 +6.675316278696e+00 +6.661671477472e+00 +6.647097708378e+00 +6.678905673088e+00 
