#             steps         distance_1         distance_2         distance_3         distance_4         distance_5         distance_6         distance_7 
#                <>                 <>                 <>                 <>                 <>                 <>                 <>                 <> 
              1510 6.905914086993e+00 6.905260776831e+00 6.904804051752e+00 6.904862428318e+00 6.904664247280e+00 6.904674288024e+00 6.904448125515e+00 
              1520 6.907612874691e+00 6.906968191682e+00 6.906523588441e+00 6.906574532339e+00 6.906389245844e+00 6.906388529795e+00 6.906173026914e+00 
              1530 6.909279021295e+00 6.908638125137e+00 6.908214914736e+00 6.908243412015e+00 6.908092799641e+00 6.908057491558e+00 6.907868009230e+00 
              1540 6.910898498346e+00 6.910253033743e+00 6.909867309913e+00 6.909847344412e+00 6.909769159119e+00 6.909657956331e+00 6.909521127720e+00 
              1550 6.912526121611e+00 6.911896932855e+00 6.911507136896e+00 6.911505066350e+00 6.911402873571e+00 6.911321135023e+00 6.911168819031e+00 
              1560 6.914093073162e+00 6.913466204128e+00 6.913099414302e+00 6.913071592707e+00 6.913008754402e+00 6.912887178632e+00 6.912764091072e+00 
              1570 6.915665082192e+00 6.915051888794e+00 6.914685461125e+00 6.914668094685e+00 6.914591986724e+00 6.914488065671e+00 6.914357031190e+00 
              1580 6.917188744370e+00 6.916582773856e+00 6.916228935590e+00 6.916202155162e+00 6.916141598945e+00 6.916023779682e+00 6.915905116046e+00 
              1590 6.918700560643e+00 6.918106131991e+00 6.917756058299e+00 6.917733899173e+00 6.917668474364e+00 6.917559042740e+00 6.917438315288e+00 
              1600 6.920182973746e+00 6.919599043798e+00 6.919254394749e+00 6.919234008238e+00 6.919167817706e+00 6.919062247980e+00 6.918942329769e+00 
              1610 6.921637639265e+00 6.921063203095e+00 6.920725594093e+00 6.920704207822e+00 6.920641247682e+00 6.920535134366e+00 6.920418822385e+00 
              1620 6.923079687405e+00 6.922520013496e+00 6.922178629319e+00 6.922173496789e+00 6.922088659847e+00 6.922009394755e+00 6.921878952002e+00 
              1630 6.924504205492e+00 6.923973312429e+00 6.923599478839e+00 6.923656484021e+00 6.923483015414e+00 6.923503423567e+00 6.923311712142e+00 
              1640 6.925876583746e+00 6.925343669582e+00 6.924998933661e+00 6.925019034327e+00 6.924900906340e+00 6.924863767875e+00 6.924712380619e+00 
              1650 6.927225266052e+00 6.926695429438e+00 6.926369122558e+00 6.926369249271e+00 6.926281814413e+00 6.926213994945e+00 6.926085507082e+00 
              1660 6.928571419431e+00 6.928065876824e+00 6.927714913345e+00 6.927764230082e+00 6.927606883371e+00 6.927618167103e+00 6.927441570668e+00 
              1670 6.929884733870e+00 6.929397288265e+00 6.929033691390e+00 6.929112703686e+00 6.928913756448e+00 6.928973185091e+00 6.928768438165e+00 
              1680 6.931169579365e+00 6.930689138024e+00 6.930335003452e+00 6.930408028231e+00 6.930219349361e+00 6.930270285850e+00 6.930073969188e+00 
              1690 6.932428004538e+00 6.931947453790e+00 6.931616872132e+00 6.931661062409e+00 6.931515861795e+00 6.931522035427e+00 6.931357554648e+00 
              1700 6.933649862968e+00 6.933161994476e+00 6.932869085855e+00 6.932861451787e+00 6.932793136576e+00 6.932718045884e+00 6.932608934132e+00 
              1710 6.934878649734e+00 6.934405455024e+00 6.934105559259e+00 6.934117993707e+00 6.934021979613e+00 6.933979737297e+00 6.933852211408e+00 
              1720 6.936082027465e+00 6.935624429156e+00 6.935315225508e+00 6.935351311901e+00 6.935222351613e+00 6.935218633839e+00 6.935068973187e+00 
              1730 6.937242154618e+00 6.936780579494e+00 6.936501331328e+00 6.936497542438e+00 6.936428021378e+00 6.936361985057e+00 6.936255318863e+00 
